starters,positions
KramEr00,QB
GreeRo00,RB
ConwCu00,WR
GrahJe00,WR
WetnRy00,TE
JennKe00,TE
HeckAn20,LT
PerrTo20,LG
FontJe20,C
LeeuJa20,RG
WillJa03,RT
SpelAl20,LDE
FlanJi21,LDT
ZoriCh20,RDT
SimpCa20,RDE
SmitVi20,LLB
CainJo20,MLB
CoxxRo20,RLB
BurtJa20,LCB
LincJe20,RCB
CartMa20,SS
CarrMa01,FS
