starters,positions
LomaNe00,QB
AndeOt00,RB
LoveRa00,RB
TillPa00,WR
GreeRo01,WR
MarsDo00,TE
SharLu00,LT
StieTe20,LG
ClarRa20,C
BostJo20,RG
RobbTo20,RT
BakeAl00,LDE
DardRa20,LDT
GallDa21,RDT
GreeCu21,RDE
HowaTo21,LLB
JuniE.00,MLB
BakeCh20,RLB
WashLi20,LCB
SmitWa23,RCB
SmitLe22,SS
PerrBe20,FS
