starters,positions
BrunMa00,QB
StewJa00,RB
MastLe00,FB
GiviEr00,WR
HowaDe00,WR
GrifRi00,TE
NovaJe20,LT
BouwSh20,LG
WideDa20,C
MyslTo20,RG
DeMaBr20,RT
SmeeJo20,LDE
PritKe20,LDT
DaveDo20,RDT
LageJe20,RDE
WillJa24,LLB
SchwBr20,MLB
WillMa23,RLB
ClarVi20,LCB
WashMi20,RCB
ColoHa20,SS
DumaMi20,FS
