starters,positions
PisaSt00,QB
AndeOt00,RB
MorrWa00,FB
TillPa00,WR
StieDa00,WR
GrayMe01,WR
OateBr20,LT
YounBo00,LG
BankTo01,C
StieTe20,RG
BostJo20,RT
PollBo20,LDE
DaviCh21,NT
DawsMi20,RDE
BareJo20,LOLB
AlleKu20,LILB
WillEr22,RILB
ArneMa20,ROLB
AlleCa21,LCB
WehrRo00,RCB
GreeKe20,SS
StonKe20,FS
