starters,positions
McCoCo00,QB
ConnJa00,RB
MoorRo02,WR
KirkCh01,WR
DaniDa02,TE
ErtzZa00,TE
BeacKe00,T
HumpD.00,T
GarcMa00,G
HarlSe00,G
HudsRo00,C
AlleZa01,DE
PhilJo01,DE
PeteCo00,DT
JoneCh03,OLB
GoldMa00,OLB
HickJo00,MLB
SimmIs00,LB
WilsMa04,CB
MurpBy00,CB
ThomJa04,S
BakeBu00,S
