starters,positions
GeorJe00,QB
PegrEr00,RB
SandRi00,WR
RisoAn00,WR
EmanBe00,WR
MathTe00,WR
KennMi00,LT
RichDa20,LG
FortRo20,C
ZandMi20,RG
WhitBo23,RT
ArchLe20,LDE
AgeeMe20,LDT
GardMo20,RDT
DoleCh00,RDE
TuggJe00,LLB
MattCl00,MLB
GeorRo20,RLB
ClarVi20,LCB
JohnD.20,RCB
RossKe00,SS
HarpRo20,FS
