starters,positions
WarnKu00,QB
ArriJ.00,RB
JohnBr02,WR
BoldAn00,WR
FitzLa00,WR
BergAd00,TE
DaviLe21,LT
HaayAd20,LG
LeckNi20,C
WakeFr00,RG
RossOl20,RT
OkeaCh20,LDE
DockDa20,UT
SmitAn22,RDE
DansKa20,SLB
DarlJa20,MLB
HuffOr20,WLB
RollAn20,LCB
MackDa20,RCB
WilsAd99,SS
GrifRo00,FS
HarrQu20,DB
