starters,positions
KosaBe00,QB
HoarLe00,RB
MackKe00,FB
LangRe00,WR
SlauWe00,WR
GalbSc00,TE
JoneTo01,LT
RienJo20,LG
BaabMi20,C
KingEd21,RG
FikeDa20,RT
SagaPi20,LDE
JoneJa20,LDT
PerrMi00,RDT
LogaEr20,RDE
BranDa21,LLB
BrowRi21,MLB
MattCl00,RLB
BragSt20,LCB
HillRa23,RCB
TurnEr00,SS
NewsVi20,FS
