starters,positions
CarrDa00,QB
DaviDo01,RB
GaffJa00,WR
JohnAn02,WR
BrueMa00,TE
RiveMa00,TE
PittCh20,LT
BrowMi21,LG
McKiSt20,C
WearFr21,RG
WiegZa20,RT
WalkGa00,LDE
PaynSe20,NT
SmitRo21,RDE
OrrxSh20,LOLB
GreeMo20,MLB
PolkDa20,BLB
PeekAn20,ROLB
RobiDu20,LCB
FaggDe20,RCB
EarlGl20,SS
BrowC.20,FS
