starters,positions
SmitAk00,QB
DillCo00,HB
NealLo00,FB
WarrPe00,WR
ScotDa00,WR
McMuKi00,TE
WebbRi00,LT
ODwyMa20,LG
BrahRi20,C
GoffMi20,RG
AndeWi00,RT
BookVa20,LDE
GibsOl20,LDT
WillTo23,RDT
SmitJu20,RDE
CurtCa20,LLB
SimmBr20,MLB
SpikTa00,RLB
RomaMa20,LCB
HawkAr20,RCB
ArmoJo20,SS
WillDa03,FS
