starters,positions
VickMi00,QB
ChriBo00,FB
FinnBr00,WR
KozlBr00,TE
KellRe00,TE
CrumAl00,TE
WhitBo23,LT
ClarTr20,LG
McClTo20,C
GarzRo20,RG
WeinTo20,RT
KernPa99,LDE
JaspEd20,NT
SmitBr21,RDE
RogeSa20,OLB
StewMa21,OLB
DrafCh20,ILB
BrooKe00,ILB
BuchRa00,LCB
AmbrAs00,RCB
McBuGe20,SS
CarpKe20,FS
