starters,positions
KrieDa00,QB
AndeKi00,RB
WordBa00,RB
BarnTi00,WR
CashKe00,TE
HayeJo00,TE
AltxJo00,LT
SzotDa20,LG
GrunTi20,C
LutzDa20,RG
ValeJo20,RT
SmitNe00,LDE
PhilJo20,LDT
SaleDa00,RDT
EvanMi21,RDE
MartCh21,LLB
SimiTr20,MLB
ThomDe01,RLB
CartDa00,LCB
RossKe00,RCB
BaylMa20,SS
MincCh20,FS
