starters,positions
StafMa00,QB
BestJa00,RB
BurlNa00,WR
JohnBr02,WR
JohnCa00,WR
PettBr00,TE
BackJe20,LT
SimsRo20,LG
RaioDo20,C
PeteSt20,RG
CherGo20,RT
AvriCl99,LDE
WillCo21,DT
SuhxNd99,DT
VandKy99,RDE
PeteJu00,OLB
PalmAs99,ILB
LevyDe99,MLB
HousCh99,LCB
SmitAl98,RCB
SpieAm99,SS
DelmLo99,FS
