starters,positions
FavrBr00,QB
ThomDa01,RB
BennEd00,FB
ClayMa00,WR
SharSt00,WR
HarrJa00,TE
RuetKe20,LT
WideDo20,LG
WintFr00,C
GalbHa20,RG
RobbTo20,RT
WhitRe00,LDE
JurkJo20,NT
BrocMa20,RDE
SimmWa20,LOLB
KoonGe20,LILB
HollJo20,RILB
PaupBr00,ROLB
BuckTe20,LCB
MitcRo20,RCB
ButlLe00,SS
TeagGe20,FS
