starters,positions
MannPe00,QB
HillRo00,RB
ThomDe03,WR
SandEm00,WR
DaniOw00,TE
GreeVi00,TE
HarrRy20,LT
MathEv20,LG
ParaMa00,C
VasqLo20,RG
SchoMi00,RT
JackMa02,DE
WolfDe00,DE
WillSy00,NT
MarsBr01,ILB
TrevDa00,ILB
MillVo00,SLB
BarrSh00,WLB
RobyBr00,LCB
HarrCh01,RCB
WardT.99,SS
StewDa00,FS
