starters,positions
DaltAn00,QB
BensCe00,HB
SimpJe00,WR
GreeA.00,WR
RolaDe20,TE
GresJe00,TE
WhitAn20,LT
LiviNa20,LG
CookKy20,C
WillBo21,RG
SmitAn23,RT
GeatRo21,LDE
AtkiGe99,DT
PekoDo20,NT
RuckFr99,RDE
LawsMa20,SLB
MauaRe99,MLB
HowaTh20,WLB
ClemNa99,LCB
JonePa20,RCB
CrocCh20,SS
NelsRe99,FS
