,0
qbs_notFullGame,7.672419759276485e-105
week,1.3958889178576787e-09
5_opp_fumbles_lost,2.5800615664376143e-05
5_opp_interceptions,7.479178577190072e-05
qbs_passingYards10_0,7.962363243384209e-05
qbs_allowedPassingYards10_1,0.0002600913324842069
qbs_last1_passing_yards,0.00029777238679516054
qbs_allowedPassingYards10_3,0.0016398771939831421
qbs_careerAvg_times_sacked,0.0036181611997306777
isPlayoffs,0.003712164568016074
qbs_isHome,0.005590602135994951
isHome,0.0055906021375887165
5_opp_pass_completions,0.007853250429928347
qbs_completedPasses10_4,0.009106977585938644
qbs_completedPasses10_2,0.00974029294005933
qbs_passingYards10_2,0.009930126087554168
qbs_allowedPassingYards10_8,0.010887774243896855
qbs_passingYards10_6,0.01754046584141249
qbs_attemptedPasses10_4,0.018515662297765526
time_5_opp_total_yards,0.018573223724586602
time_5_opp_rush_yards,0.019067114104816315
qbs_careerAvg_rush_attempts,0.02015578641927823
qbs_completedPasses10_3,0.02051735525732308
qbs_pastSeasonPasserRating,0.021694750334071665
qbs_allowedPassingYards10_2,0.02282012661552687
qbs_allowedPassingYards10_9,0.02304777470079989
pass_yards,0.024072008322468447
qbs_passingYards10_3,0.024522540283090893
qbs_last5_completed_passes,0.02494749053497736
qbs_passingYards10_8,0.026231889064871255
qbs_seasonAvg_yards_lost_from_sacks,0.028636498508479612
qbs_careerAvg_completed_passes,0.033734842578840046
qbs_passingTouchdowns10_0,0.033881543217796545
qbs_completedPasses10_1,0.0345388482515779
rush_yards,0.03598006555243719
qbs_seasonAvg_rush_yards,0.03601957572349327
qbs_age,0.03624776904864553
qbs_careerAvg_attempted_passes,0.03901565526210536
qbs_careerAvg_passing_touchdowns,0.0394684675952001
opp_5_opp_rush_touchdowns,0.04509387348902313
opp_5_pass_completions,0.045997577262947856
total_yards,0.047044975115515426
1_opp_fumbles_lost,0.052475177810019744
qbs_careerAvg_yards_lost_from_sacks,0.054267882324783655
opp_5_opp_yards_from_penalties,0.05450862289562352
opp_5_opp_fumbles,0.05653594677868899
opp_5_opp_penalties,0.057063490399548264
time_5_opp_pass_attempts,0.05910743657940094
qbs_last5_attempted_passes,0.059338658693838996
qbs_isRookie,0.06002394818315276
qbs_passingYards10_1,0.06362786604047778
qbs_outLastSeason,0.06944221486867208
5_opp_turnovers,0.07412478928392051
qbs_passingTouchdowns10_9,0.07691570262230364
time_5_points,0.07888024657648475
opp_5_opp_fourth_down_conversions,0.07907501766363381
pointsAllowed10_1,0.07937986142662898
time_5_opp_net_pass_yards,0.08122602712029854
pointsAllowed10_0,0.0841487493515154
qbs_seasonAvg_isHome,0.0842502698945022
pointsAllowed10_2,0.08448654630627779
opp_5_pass_touchdowns,0.09068800601090106
qbs_allowedPassingYards10_0,0.0946683740939589
opp_5_opp_points,0.0960094163707275
time_5_third_down_conversions,0.1024245310948021
qbs_allowedPassingTouchdowns10_9,0.10445572150460848
qbs_passingTouchdowns10_5,0.1065464186529461
qbs_allowedPassingYards10_5,0.10947855661526337
qbs_seasonAvg_longest_pass,0.10964780390761819
qbs_careerAvg_quarterback_rating,0.11363977590413193
qbs_last5_passing_yards,0.11364867494603977
opp_5_opp_pass_touchdowns,0.11407432207066195
5_opp_third_down_conversions,0.11550853508148047
qbs_passingYards10_4,0.11973936699436315
qbs_allowedPassingTouchdowns10_3,0.12394297407316292
qbs_allowedPassingYards10_4,0.12782868966078248
qbs_isNewStarter,0.13076646451176988
time_5_first_downs,0.13140776166813614
5_opp_penalties,0.13235262079650556
5_opp_net_pass_yards,0.13279128261910622
qbs_passingTouchdowns10_8,0.1434300027232481
qbs_attemptedPasses10_1,0.14492172019722852
qbs_allowedPassingTouchdowns10_2,0.14579042901999772
isWeekAfterBye,0.1504263401575384
qbs_last5_quarterback_rating,0.15431945327718047
qbs_seasonAvg_sack_percentage,0.1556787018627895
qbs_last1_passing_touchdowns,0.159599394558856
5_fourth_down_attempts,0.15984142710471305
opp_5_opp_times_sacked,0.1602077206802347
time_5_opp_interceptions,0.16560825499226567
pointsAllowed10_3,0.1657431549933469
opp_5_opp_total_yards,0.16601322060667129
5_opp_pass_yards,0.16621887509725708
1_opp_turnovers,0.16664249561081118
opp_eloSmooth-0.25,0.16866885997071987
1_net_pass_yards,0.169073321215851
5_opp_yards_lost_from_sacks,0.1698620570648083
qbs_completedPasses10_6,0.17119237309234495
qbs_passingYards10_5,0.17133063033956625
opp_5_opp_rush_yards,0.17232853297391196
pointsAllowed10_9,0.1738868124517536
qbs_seasonAvg_rush_attempts,0.18096244431478453
time_5_fourth_down_attempts,0.18324904203924955
qbs_last1_completion_percentage,0.186033372438636
qbs_last5_isHome,0.18806729893152796
opp_5_pass_attempts,0.19285607992633408
1_opp_interceptions,0.19331749935256629
time_5_opp_first_downs,0.19364259218931432
qbs_pastSeasonAwards,0.19632910217489805
5_rush_touchdowns,0.19881160997152403
seasonWins,0.19943214735732315
qbs_last5_longest_rush,0.2022096766555181
5_opp_pass_attempts,0.20307453802919972
1_total_yards,0.20617998085260028
1_third_down_conversions,0.206959137252334
1_time_of_possession,0.21044371770860248
opp_5_opp_rush_attempts,0.21423834073537634
1_rush_yards,0.215510345703839
qbs_attemptedPasses10_2,0.22007638319267642
opp_5_opp_turnovers,0.22203962710619876
5_opp_third_down_attempts,0.22363196300142812
qbs_seasonAvg_longest_rush,0.2267890523510891
qbs_careerAvg_adjusted_yards_per_attempt,0.22953351122502164
1_fourth_down_conversions,0.22962790945204364
qbs_careerAvg_yards_per_attempt,0.23153646904718292
qbs_careerAvg_interception_percentage,0.23268735837189694
qbs_seasonAvg_td_percentage,0.23337203512763924
qbs_careerAvg_td_percentage,0.23378089421117004
5_opp_rush_attempts,0.23540839388811555
5_third_down_attempts,0.23832724139227265
qbs_last5_interception_percentage,0.23887401611133588
qbs_seasonAvg_interception_percentage,0.23996191794927857
points10_4,0.24001441953926683
qbs_last5_td_percentage,0.24029835918821157
qbs_last5_yards_per_attempt,0.24048044017543035
qbs_last5_adjusted_yards_per_attempt,0.24137434087982157
time_5_opp_yards_from_penalties,0.24552669393366683
opp_ppg,0.2465955417617411
time_5_rush_attempts,0.24739985130025435
qbs_seasonAvg_adjusted_yards_per_attempt,0.24756385088053603
1_opp_yards_from_penalties,0.24883254387964268
qbs_isNewTeam,0.24885677784301402
time_5_opp_fourth_down_conversions,0.24940177947916012
points10_8,0.2508530579945951
qbs_careerAvg_yards_per_completion,0.2515374411029617
qbs_seasonAvg_yards_per_attempt,0.25167604696475554
1_opp_fumbles,0.25305079180591566
1_third_down_attempts,0.25444998763404253
qbs_seasonAvg_times_sacked,0.2553382221014916
5_opp_fumbles,0.25549919161980483
qbs_last5_completion_percentage,0.25882895987577215
qbs_seasonAvg_rush_touchdowns,0.2652953889543925
time_5_opp_fumbles_lost,0.2657279182366007
qbs_careerAvg_rush_yards,0.26831833345126027
isWeekBeforePlayoffs,0.2743219141213922
1_pass_completions,0.2756170241223455
qbs_last1_longest_rush,0.28279934185656386
time_5_opp_third_down_attempts,0.2861615013136678
time_5_penalties,0.2882575602588847
time_5_pass_touchdowns,0.29376988288839145
duration_y,0.29459178874415537
