p_id,name,position
ForeCh00,Chuck Foreman,RB
WilsWa02,Wayne Wilson,RB
BlanJe20,Jerry Blanton,LB
PerrSc20,Scott Perry,DB
ArmsAd00,Adger Armstrong,RB
JohnBo20,Bobby Johnson,DB
BeauDo20,Doug Beaudoin,DB
GreeHu00,Hugh Green,LB
RoacCa00,Carl Roaches,WR
WaecHe20,Henry Waechter,DE-DT
KrumTi00,Tim Krumrie,NT-DT
JustSi20,Sid Justin,DB
HallWi20,Willie Hall,LB
CavaMa00,Matt Cavanaugh,QB
WillJi21,Jimmy Williams,LB
MitcLy00,Lydell Mitchell,RB
BattRo20,Ron Battle,TE
BeacPa00,Pat Beach,TE
kempfflo01,Florian Kempf,K
SpenWi00,Willie Spencer,RB
MeadMi00,Mike Meade,RB
BirdSt20,Steve Bird,WR
AlleJi20,Jimmy Allen,DB
HayeLe00,Lester Hayes,DB
OdomSt00,Steve Odom,WR
ScotLi00,Lindsay Scott,WR
McDoPa00,Paul McDonald,QB
bahrxmat01,Matt Bahr,K
TrouBi00,Bill Troup,QB
ClarKe24,Ken Clarke,NT-DT
StroRa00,Ray Strong,RB
SpriRo00,Ron Springs,RB
WaltJo00,John Walton,QB
AberWa00,Walter Abercrombie,RB
KlecJo00,Joe Klecko,DT-NT-DE
CurtIs00,Isaac Curtis,WR
NormJo20,Joe Norman,LB
CoffPa00,Paul Coffman,TE
CapeWa00,Wayne Capers,WR
karliric01,Rich Karlis,K
SkanPa00,Paul Skansi,WR
HaynMa00,Mark Haynes,DB
BoltRo20,Ron Bolton,DB
HallAl21,Alvin Hall,DB
SpivMi20,Mike Spivey,DB
BostKe00,Keith Bostic,DB
FellRo20,Ron Fellows,DB
WaltDa22,Danny Walters,DB
BessDo20,Don Bessillieu,DB
HardDe21,Dee Hardison,DE-DT-NT-DE
HoodEs20,Estus Hood,DB
YounGl20,Glen Young,WR
PoolNa00,Nathan Poole,RB
JoneJa01,James Jones,RB
KovaJi20,Jim Kovach,LB
MillKe21,Kevin Miller,WR
FavrCa20,Calvin Favron,LB
HughEr20,Ernie Hughes,C-G
HughDa01,David Hughes,RB-FB
BubeMa20,Mark Buben,DE-NT
StabKe00,Ken Stabler,QB
MuckLa00,Larry Mucker,WR
BaabMi20,Mike Baab,C
ThomTe20,Ted Thompson,LB
McDoMa20,Mardye McDole,WR
JackBi00,Billy Jackson,RB
RudzPa20,Paul Rudzinski,LB
RamsEa00,Eason Ramson,TE
HarrJo21,Joe Harris,LB
ScotJa00,James Scott,WR
