abbr,wy,qb,qb_not_full_game,rb1,rb2,wr1,wr2,wr3
RAI,2 | 1978,StabKe00,0,VanEMa00,WhitAr00,BradMo00,CaspDa00,BranCl00
SFO,2 | 1978,DebeSt00,0,SimpO.00,BoykGr00,SoloFr01,LeCoTe00,MacAKe21
CHI,2 | 1978,AvelBo00,0,PaytWa00,HarpRo00,ScotJa00,SchuSt00,BascBr00
MIN,2 | 1978,TarkFr00,1,ForeCh00,YounRi00,WhitSa00,RashAh00,TuckBo00
DEN,2 | 1978,MortCr00,1,KeywJo00,PerrLo00,MoseHa00,OdomRi00,UpchRi00
ATL,3 | 1978,BartSt00,1,BeanBu00,StanHa00,FranWa00,RyckBi00,MitcJi00
CLE,3 | 1978,SipeBr00,0,PruiMi00,MillCl00,RuckRe00,NewsOz00,LogaDa00
CIN,3 | 1978,ReavJo00,0,JohnPe00,GrifAr00,CurtIs00,LawxDe20,BrooBi01
PIT,3 | 1978,BradTe00,0,HarrFr00,BleiRo00,CunnBe00,SwanLy00,StalJo00
DET,3 | 1978,LandGr00,1,BussDe00,KingHo00,ScotFr01,BlueLu00,ThomJe02
CHI,3 | 1978,AvelBo00,0,PaytWa00,HarpRo00,EarlRo00,ScotJa00,RichGo00
NYG,3 | 1978,PisaJo00,0,KotaDo00,HammBo00,DixoAl00,PerkJo00,RobiJi00
KAN,3 | 1978,LiviMi00,0,ReedTo00,MorgAr00,WhitWa00,DorsLa00,None
NYJ,3 | 1978,ToddRi00,0,LongKe00,DierSc00,GaffDe00,WalkWe00,BarkJe00
SEA,3 | 1978,ZornJi00,0,SimsDa00,HuntAl00,McCuSa00,LargSt00,FergDu00
CRD,3 | 1978,HartJi00,0,OtisJi00,MorrWa00,StieDa00,GrayMe01,TillPa00
WAS,3 | 1978,TheiJo00,0,RiggJo00,ThomMi00,HaynRe00,FugeJe00,GranFr00
GNB,3 | 1978,WhitDa02,0,MiddTe00,SmitBa00,LoftJa00,OdomSt00,None
RAI,3 | 1978,StabKe00,0,VanEMa00,WhitAr00,CaspDa00,BranCl00,BileFr00
MIN,3 | 1978,TarkFr00,1,ForeCh00,YounRi00,WhitSa00,RashAh00,TuckBo00
TAM,3 | 1978,WillDo01,0,BellRi01,DuboJi00,OwenMo00,GileJi00,MuckLa00
NOR,3 | 1978,MannAr00,0,GalbTo00,MuncCh00,HarrIk00,OwenTi00,ChilHe00
PHI,3 | 1978,JawoRo00,0,MontWi00,HogaMi00,CarmHa00,KrepKe00,PaynKe00
OTI,3 | 1978,PastDa00,0,CampEa00,WilsTi00,CastRi00,BurrKe00,BarbMi01
SFO,3 | 1978,DebeSt00,0,SimpO.00,HofePa00,SoloFr01,LeCoTe00,SealPa00
DEN,3 | 1978,MortCr00,1,KeywJo00,PerrLo00,OdomRi00,MoseHa00,UpchRi00
SDG,3 | 1978,FoutDa00,0,MitcLy00,WoodDo00,JoinCh00,JeffJo00,KleiBo00
MIA,3 | 1978,StroDo00,0,WillDe01,HarrLe01,MoorNa00,HarrDu00,TillAn00
BUF,3 | 1978,FergJo00,0,MillTe00,BrowCu00,LewiFr00,GantRe00,WaltLa00
RAM,3 | 1978,HadePa00,0,BryaCu00,CappJo00,JessRo00,MillWi00,ScalDw00
DAL,3 | 1978,StauRo00,0,DorsTo00,NewhRo00,PearPr00,JohnBu00,HillTo00
NWE,3 | 1978,GrogSt00,0,CunnSa00,JohnAn01,MorgSt00,JackHa00,HassDo00
CLT,3 | 1978,TrouBi00,0,WashJo00,LeakRo00,McCaDo00,CarrRo00,JohnMa02
BUF,4 | 1978,FergJo00,0,MillTe00,BrowCu00,LewiFr00,GantRe00,WillLe00
CLT,4 | 1978,TrouBi00,0,WashJo00,LeakRo00,AlstMa00,DougGl00,CarrRo00
CIN,4 | 1978,ReavJo00,0,JohnPe00,GrifAr00,BrooBi01,CorbJa00,CurtIs00
NOR,4 | 1978,MannAr00,0,GalbTo00,StraMi00,ChilHe00,OwenTi00,HarrIk00
OTI,4 | 1978,PastDa00,0,CampEa00,WilsTi00,BarbMi01,JohnBi01,None
RAM,4 | 1978,HadePa00,0,BryaCu00,CappJo00,MillWi00,NelsTe00,None
PHI,4 | 1978,JawoRo00,0,MontWi00,HogaMi00,CarmHa00,KrepKe00,SmitCh00
MIA,4 | 1978,StroDo00,0,WillDe01,DaviGa00,MoorNa00,HarrDu00,CefaJi00
PIT,4 | 1978,BradTe00,0,HarrFr00,BleiRo00,SwanLy00,CunnBe00,StalJo00
CLE,4 | 1978,SipeBr00,0,PruiMi00,MillCl00,NewsOz00,RuckRe00,LogaDa00
WAS,4 | 1978,TheiJo00,0,RiggJo00,ThomMi00,McDaJo00,ThomRi00,FugeJe00
NYJ,4 | 1978,ToddRi00,0,LongKe00,DierSc00,WalkWe00,BarkJe00,GaffDe00
KAN,4 | 1978,LiviMi00,0,ReedTo00,MorgAr00,WhitWa00,None,None
DEN,4 | 1978,MortCr00,0,KeywJo00,PerrLo00,UpchRi00,OdomRi00,MoseHa00
DAL,4 | 1978,StauRo00,0,DorsTo00,NewhRo00,PearDr00,DuprBi00,PearPr00
CRD,4 | 1978,HartJi00,0,OtisJi00,MorrWa00,GrayMe01,RamsEa00,TillPa00
NYG,4 | 1978,PisaJo00,0,KotaDo00,HammBo00,DixoAl00,ShirGa00,PerkJo00
SFO,4 | 1978,DebeSt00,0,SimpO.00,FerrBo00,SoloFr01,MacAKe21,BoydEl00
SDG,4 | 1978,HarrJa01,1,MitcLy00,WoodDo00,JoinCh00,JeffJo00,RodgJo00
GNB,4 | 1978,WhitDa02,0,MiddTe00,SmitBa00,ThomAu00,LoftJa00,McGeRi00
SEA,4 | 1978,ZornJi00,0,SimsDa00,HuntAl00,RaibSt00,LargSt00,McCuSa00
DET,4 | 1978,LandGr00,0,BussDe00,KingHo00,HillDa01,BlueLu00,ScotFr01
TAM,4 | 1978,WillDo01,0,BellRi01,DaviJo01,HagiIs00,ObraJi00,McKaJo00
ATL,4 | 1978,BartSt00,0,BeanBu00,StanHa00,RyckBi00,JackAl00,None
RAI,4 | 1978,StabKe00,0,VanEMa00,WhitAr00,CaspDa00,BradMo00,BranCl00
NWE,4 | 1978,GrogSt00,0,CunnSa00,JohnAn01,FranRu00,MorgSt00,WestDo00
CHI,4 | 1978,AvelBo00,0,PaytWa00,HarpRo00,RichGo00,LattGr00,ScotJa00
MIN,4 | 1978,TarkFr00,0,ForeCh00,YounRi00,WhitSa00,RashAh00,TuckBo00
ATL,5 | 1978,BartSt00,0,BeanBu00,StanHa00,FranWa00,MitcJi00,RyckBi00
NYG,5 | 1978,PisaJo00,0,HammBo00,CsonLa00,DixoAl00,PerkJo00,ThomJa01
BUF,5 | 1978,FergJo00,0,MillTe00,BrowCu00,ChanBo00,LewiFr00,GantRe00
KAN,5 | 1978,AdamTo00,1,ReedTo00,MorgAr00,MarsHe00,WhitWa00,None
CLE,5 | 1978,SipeBr00,0,PruiMi00,MillCl00,RuckRe00,LogaDa00,NewsOz00
OTI,5 | 1978,PastDa00,0,WilsTi00,CarpRo01,BurrKe00,CastRi00,RenfMi00
MIA,5 | 1978,StroDo00,0,WillDe01,HarrLe01,MoorNa00,HarrDu00,TillAn00
CRD,5 | 1978,HartJi00,0,OtisJi00,MorrWa00,GrayMe01,RamsEa00,TillPa00
NWE,5 | 1978,GrogSt00,0,CunnSa00,JohnAn01,WestDo00,JackHa00,FranRu00
SDG,5 | 1978,FoutDa00,0,MitcLy00,WoodDo00,RodgJo00,JeffJo00,JoinCh00
NYJ,5 | 1978,RobiMa01,0,LongKe00,DierSc00,WalkWe00,GaffDe00,None
PIT,5 | 1978,BradTe00,0,HarrFr00,BleiRo00,SwanLy00,StalJo00,SmitJi01
