key,wy,qb1
DEN-197810010den,5 | 1978,WeesNo00
SEA-197810010den,5 | 1978,ZornJi00
SFO-197810010sfo,5 | 1978,DebeSt00
CIN-197810010sfo,5 | 1978,AndeKe00
WAS-197810020was,5 | 1978,TheiJo00
DAL-197810020was,5 | 1978,StauRo00
DET-197810080det,6 | 1978,DaniGa00
WAS-197810080det,6 | 1978,TheiJo00
NWE-197810080nwe,6 | 1978,GrogSt00
PHI-197810080nwe,6 | 1978,JawoRo00
NYJ-197810080nyj,6 | 1978,RobiMa01
BUF-197810080nyj,6 | 1978,FergJo00
PIT-197810080pit,6 | 1978,BradTe00
ATL-197810080pit,6 | 1978,BartSt00
CRD-197810080crd,6 | 1978,HartJi00
CLT-197810080crd,6 | 1978,TrouBi00
DAL-197810080dal,6 | 1978,StauRo00
NYG-197810080dal,6 | 1978,PisaJo00
GNB-197810080gnb,6 | 1978,WhitDa02
CHI-197810080gnb,6 | 1978,AvelBo00
KAN-197810080kan,6 | 1978,AdamTo00
TAM-197810080kan,6 | 1978,WillDo01
NOR-197810080nor,6 | 1978,MannAr00
CLE-197810080nor,6 | 1978,SipeBr00
RAI-197810080rai,6 | 1978,StabKe00
OTI-197810080rai,6 | 1978,PastDa00
RAM-197810080ram,6 | 1978,HadePa00
SFO-197810080ram,6 | 1978,DebeSt00
SDG-197810080sdg,6 | 1978,FoutDa00
DEN-197810080sdg,6 | 1978,MortCr00
SEA-197810080sea,6 | 1978,ZornJi00
MIN-197810080sea,6 | 1978,TarkFr00
MIA-197810090mia,6 | 1978,StroDo00
CIN-197810090mia,6 | 1978,AndeKe00
ATL-197810150atl,7 | 1978,BartSt00
DET-197810150atl,7 | 1978,DaniGa00
CIN-197810150cin,7 | 1978,AndeKe00
NWE-197810150cin,7 | 1978,GrogSt00
CLE-197810150cle,7 | 1978,SipeBr00
PIT-197810150cle,7 | 1978,BradTe00
GNB-197810150gnb,7 | 1978,WhitDa02
SEA-197810150gnb,7 | 1978,ZornJi00
NYG-197810150nyg,7 | 1978,PisaJo00
TAM-197810150nyg,7 | 1978,WillDo01
PHI-197810150phi,7 | 1978,JawoRo00
WAS-197810150phi,7 | 1978,TheiJo00
CLT-197810150clt,7 | 1978,JoneBe00
NYJ-197810150clt,7 | 1978,RobiMa01
CRD-197810150crd,7 | 1978,HartJi00
DAL-197810150crd,7 | 1978,StauRo00
OTI-197810150oti,7 | 1978,PastDa00
BUF-197810150oti,7 | 1978,FergJo00
MIN-197810150min,7 | 1978,TarkFr00
RAM-197810150min,7 | 1978,HadePa00
RAI-197810150rai,7 | 1978,StabKe00
KAN-197810150rai,7 | 1978,AdamTo00
SDG-197810150sdg,7 | 1978,FoutDa00
MIA-197810150sdg,7 | 1978,StroDo00
SFO-197810150sfo,7 | 1978,DebeSt00
NOR-197810150sfo,7 | 1978,MannAr00
DEN-197810160den,7 | 1978,PenrCr00
CHI-197810160den,7 | 1978,AvelBo00
BUF-197810220buf,8 | 1978,FergJo00
CIN-197810220buf,8 | 1978,AndeKe00
NYG-197810220nyg,8 | 1978,PisaJo00
WAS-197810220nyg,8 | 1978,TheiJo00
NYJ-197810220nyj,8 | 1978,RobiMa01
CRD-197810220nyj,8 | 1978,PisaSt00
TAM-197810220tam,8 | 1978,WillDo01
CHI-197810220tam,8 | 1978,AvelBo00
DAL-197810220dal,8 | 1978,StauRo00
PHI-197810220dal,8 | 1978,JawoRo00
DET-197810220det,8 | 1978,DaniGa00
SDG-197810220det,8 | 1978,FoutDa00
KAN-197810220kan,8 | 1978,LiviMi00
CLE-197810220kan,8 | 1978,SipeBr00
MIN-197810220min,8 | 1978,TarkFr00
GNB-197810220min,8 | 1978,WhitDa02
CLT-197810220clt,8 | 1978,TrouBi00
DEN-197810220clt,8 | 1978,MortCr00
NWE-197810220nwe,8 | 1978,GrogSt00
MIA-197810220nwe,8 | 1978,GrieBo00
RAM-197810220ram,8 | 1978,HadePa00
NOR-197810220ram,8 | 1978,MannAr00
SEA-197810220sea,8 | 1978,ZornJi00
RAI-197810220sea,8 | 1978,StabKe00
SFO-197810220sfo,8 | 1978,DebeSt00
ATL-197810220sfo,8 | 1978,BartSt00
PIT-197810230pit,8 | 1978,BradTe00
OTI-197810230pit,8 | 1978,PastDa00
DAL-197810260dal,9 | 1978,StauRo00
MIN-197810260dal,9 | 1978,TarkFr00
CIN-197810290cin,9 | 1978,AndeKe00
OTI-197810290cin,9 | 1978,PastDa00
CLE-197810290cle,9 | 1978,SipeBr00
BUF-197810290cle,9 | 1978,FergJo00
NWE-197810290nwe,9 | 1978,GrogSt00
NYJ-197810290nwe,9 | 1978,RobiMa01
PHI-197810290phi,9 | 1978,JawoRo00
CRD-197810290phi,9 | 1978,HartJi00
PIT-197810290pit,9 | 1978,BradTe00
KAN-197810290pit,9 | 1978,LiviMi00
WAS-197810290was,9 | 1978,KilmBi00
SFO-197810290was,9 | 1978,DebeSt00
CHI-197810290chi,9 | 1978,AvelBo00
DET-197810290chi,9 | 1978,DaniGa00
GNB-197810290gnb,9 | 1978,WhitDa02
TAM-197810290gnb,9 | 1978,WillDo01
NOR-197810290nor,9 | 1978,MannAr00
NYG-197810290nor,9 | 1978,PisaJo00
MIA-197810290mia,9 | 1978,GrieBo00
CLT-197810290mia,9 | 1978,KirkMi00
RAI-197810290rai,9 | 1978,StabKe00
SDG-197810290rai,9 | 1978,FoutDa00
SEA-197810290sea,9 | 1978,ZornJi00
DEN-197810290sea,9 | 1978,MortCr00
ATL-197810300atl,9 | 1978,BartSt00
RAM-197810300atl,9 | 1978,HadePa00
ATL-197811050atl,10 | 1978,BartSt00
SFO-197811050atl,10 | 1978,DebeSt00
BUF-197811050buf,10 | 1978,FergJo00
NWE-197811050buf,10 | 1978,GrogSt00
CHI-197811050chi,10 | 1978,AvelBo00
SEA-197811050chi,10 | 1978,ZornJi00
CRD-197811050crd,10 | 1978,HartJi00
NYG-197811050crd,10 | 1978,GolsJe00
MIN-197811050min,10 | 1978,TarkFr00
DET-197811050min,10 | 1978,DaniGa00
PHI-197811050phi,10 | 1978,JawoRo00
GNB-197811050phi,10 | 1978,WhitDa02
PIT-197811050pit,10 | 1978,BradTe00
NOR-197811050pit,10 | 1978,MannAr00
KAN-197811050kan,10 | 1978,LiviMi00
RAI-197811050kan,10 | 1978,StabKe00
OTI-197811050oti,10 | 1978,PastDa00
CLE-197811050oti,10 | 1978,SipeBr00
DEN-197811050den,10 | 1978,PenrCr00
NYJ-197811050den,10 | 1978,RobiMa01
MIA-197811050mia,10 | 1978,GrieBo00
DAL-197811050mia,10 | 1978,StauRo00
RAM-197811050ram,10 | 1978,HadePa00
TAM-197811050ram,10 | 1978,WillDo01
SDG-197811050sdg,10 | 1978,FoutDa00
CIN-197811050sdg,10 | 1978,AndeKe00
CLT-197811060clt,10 | 1978,JoneBe00
WAS-197811060clt,10 | 1978,KilmBi00
BUF-197811120buf,11 | 1978,FergJo00
MIA-197811120buf,11 | 1978,GrieBo00
CLE-197811120cle,11 | 1978,SipeBr00
DEN-197811120cle,11 | 1978,MortCr00
NWE-197811120nwe,11 | 1978,GrogSt00
OTI-197811120nwe,11 | 1978,PastDa00
PHI-197811120phi,11 | 1978,JawoRo00
NYJ-197811120phi,11 | 1978,RobiMa01
WAS-197811120was,11 | 1978,TheiJo00
NYG-197811120was,11 | 1978,PisaJo00
DET-197811120det,11 | 1978,DaniGa00
TAM-197811120det,11 | 1978,RaexMi00
NOR-197811120nor,11 | 1978,MannAr00
ATL-197811120nor,11 | 1978,BartSt00
GNB-197811120gnb,11 | 1978,WhitDa02
DAL-197811120gnb,11 | 1978,StauRo00
MIN-197811120min,11 | 1978,TarkFr00
CHI-197811120min,11 | 1978,PhipMi00
SDG-197811120sdg,11 | 1978,FoutDa00
KAN-197811120sdg,11 | 1978,LiviMi00
SEA-197811120sea,11 | 1978,ZornJi00
CLT-197811120sea,11 | 1978,JoneBe00
SFO-197811120sfo,11 | 1978,BullSc00
CRD-197811120sfo,11 | 1978,HartJi00
RAM-197811120ram,11 | 1978,HadePa00
PIT-197811120ram,11 | 1978,BradTe00
CIN-197811130cin,11 | 1978,AndeKe00
RAI-197811130cin,11 | 1978,StabKe00
MIN-197811190min,12 | 1978,TarkFr00
SDG-197811190min,12 | 1978,FoutDa00
NYG-197811190nyg,12 | 1978,PisaJo00
PHI-197811190nyg,12 | 1978,JawoRo00
NYJ-197811190nyj,12 | 1978,ToddRi00
NWE-197811190nyj,12 | 1978,GrogSt00
TAM-197811190tam,12 | 1978,RaexMi00
BUF-197811190tam,12 | 1978,FergJo00
WAS-197811190was,12 | 1978,TheiJo00
CRD-197811190was,12 | 1978,HartJi00
CHI-197811190chi,12 | 1978,PhipMi00
ATL-197811190chi,12 | 1978,BartSt00
CLT-197811190clt,12 | 1978,TrouBi00
CLE-197811190clt,12 | 1978,SipeBr00
DAL-197811190dal,12 | 1978,StauRo00
NOR-197811190dal,12 | 1978,MannAr00
KAN-197811190kan,12 | 1978,LiviMi00
SEA-197811190kan,12 | 1978,ZornJi00
DEN-197811190den,12 | 1978,MortCr00
GNB-197811190den,12 | 1978,WhitDa02
PIT-197811190pit,12 | 1978,BradTe00
CIN-197811190pit,12 | 1978,AndeKe00
RAI-197811190rai,12 | 1978,StabKe00
DET-197811190rai,12 | 1978,DaniGa00
SFO-197811190sfo,12 | 1978,BullSc00
RAM-197811190sfo,12 | 1978,HadePa00
OTI-197811200oti,12 | 1978,PastDa00
MIA-197811200oti,12 | 1978,GrieBo00
DET-197811230det,13 | 1978,DaniGa00
DEN-197811230det,13 | 1978,MortCr00
DAL-197811230dal,13 | 1978,StauRo00
WAS-197811230dal,13 | 1978,TheiJo00
ATL-197811260atl,13 | 1978,BartSt00
NOR-197811260atl,13 | 1978,MannAr00
BUF-197811260buf,13 | 1978,FergJo00
NYG-197811260buf,13 | 1978,PisaJo00
CLE-197811260cle,13 | 1978,SipeBr00
RAM-197811260cle,13 | 1978,HadePa00
MIA-197811260mia,13 | 1978,GrieBo00
NYJ-197811260mia,13 | 1978,RobiMa01
CHI-197811260chi,13 | 1978,AvelBo00
TAM-197811260chi,13 | 1978,RaexMi00
CRD-197811260crd,13 | 1978,HartJi00
PHI-197811260crd,13 | 1978,JawoRo00
GNB-197811260gnb,13 | 1978,WhitDa02
MIN-197811260gnb,13 | 1978,TarkFr00
KAN-197811260kan,13 | 1978,LiviMi00
SDG-197811260kan,13 | 1978,HarrJa01
OTI-197811260oti,13 | 1978,PastDa00
CIN-197811260oti,13 | 1978,AndeKe00
CLT-197811260clt,13 | 1978,TrouBi00
NWE-197811260clt,13 | 1978,GrogSt00
RAI-197811260rai,13 | 1978,StabKe00
SEA-197811260rai,13 | 1978,ZornJi00
SFO-197811270sfo,13 | 1978,BullSc00
PIT-197811270sfo,13 | 1978,BradTe00
CIN-197812030cin,14 | 1978,AndeKe00
ATL-197812030cin,14 | 1978,BartSt00
NYG-197812030nyg,14 | 1978,PisaJo00
RAM-197812030nyg,14 | 1978,HadePa00
NYJ-197812030nyj,14 | 1978,RobiMa01
CLT-197812030nyj,14 | 1978,TrouBi00
TAM-197812030tam,14 | 1978,RaexMi00
GNB-197812030tam,14 | 1978,WhitDa02
WAS-197812030was,14 | 1978,TheiJo00
MIA-197812030was,14 | 1978,GrieBo00
CRD-197812030crd,14 | 1978,HartJi00
DET-197812030crd,14 | 1978,DaniGa00
KAN-197812030kan,14 | 1978,LiviMi00
BUF-197812030kan,14 | 1978,FergJo00
MIN-197812030min,14 | 1978,TarkFr00
PHI-197812030min,14 | 1978,JawoRo00
NOR-197812030nor,14 | 1978,MannAr00
SFO-197812030nor,14 | 1978,BullSc00
DAL-197812030dal,14 | 1978,StauRo00
NWE-197812030dal,14 | 1978,GrogSt00
OTI-197812030oti,14 | 1978,PastDa00
PIT-197812030oti,14 | 1978,BradTe00
SEA-197812030sea,14 | 1978,ZornJi00
CLE-197812030sea,14 | 1978,SipeBr00
RAI-197812030rai,14 | 1978,StabKe00
DEN-197812030rai,14 | 1978,MortCr00
SDG-197812040sdg,14 | 1978,FoutDa00
CHI-197812040sdg,14 | 1978,AvelBo00
PIT-197812090pit,15 | 1978,BradTe00
CLT-197812090pit,15 | 1978,TrouBi00
DET-197812090det,15 | 1978,DaniGa00
MIN-197812090det,15 | 1978,TarkFr00
ATL-197812100atl,15 | 1978,BartSt00
WAS-197812100atl,15 | 1978,TheiJo00
CLE-197812100cle,15 | 1978,SipeBr00
NYJ-197812100cle,15 | 1978,RobiMa01
NWE-197812100nwe,15 | 1978,GrogSt00
BUF-197812100nwe,15 | 1978,FergJo00
NYG-197812100nyg,15 | 1978,DeanRa00
CRD-197812100nyg,15 | 1978,HartJi00
PHI-197812100phi,15 | 1978,JawoRo00
DAL-197812100phi,15 | 1978,StauRo00
CHI-197812100chi,15 | 1978,PhipMi00
GNB-197812100chi,15 | 1978,WhitDa02
NOR-197812100nor,15 | 1978,MannAr00
OTI-197812100nor,15 | 1978,PastDa00
DEN-197812100den,15 | 1978,MortCr00
KAN-197812100den,15 | 1978,LiviMi00
MIA-197812100mia,15 | 1978,GrieBo00
RAI-197812100mia,15 | 1978,StabKe00
SDG-197812100sdg,15 | 1978,FoutDa00
SEA-197812100sdg,15 | 1978,ZornJi00
SFO-197812100sfo,15 | 1978,BullSc00
TAM-197812100sfo,15 | 1978,RaexMi00
RAM-197812110ram,15 | 1978,HadePa00
CIN-197812110ram,15 | 1978,AndeKe00
WAS-197812160was,16 | 1978,TheiJo00
CHI-197812160was,16 | 1978,PhipMi00
DEN-197812160den,16 | 1978,MortCr00
PIT-197812160den,16 | 1978,BradTe00
CIN-197812170cin,16 | 1978,AndeKe00
CLE-197812170cin,16 | 1978,SipeBr00
DET-197812170det,16 | 1978,DaniGa00
SFO-197812170det,16 | 1978,DebeSt00
NYJ-197812170nyj,16 | 1978,RobiMa01
DAL-197812170nyj,16 | 1978,WhitDa01
PHI-197812170phi,16 | 1978,JawoRo00
NYG-197812170phi,16 | 1978,DeanRa00
TAM-197812170tam,16 | 1978,WillDo01
NOR-197812170tam,16 | 1978,MannAr00
CLT-197812170clt,16 | 1978,TrouBi00
BUF-197812170clt,16 | 1978,FergJo00
CRD-197812170crd,16 | 1978,HartJi00
ATL-197812170crd,16 | 1978,BartSt00
OTI-197812170oti,16 | 1978,PastDa00
SDG-197812170oti,16 | 1978,FoutDa00
RAI-197812170rai,16 | 1978,StabKe00
MIN-197812170rai,16 | 1978,TarkFr00
RAM-197812170ram,16 | 1978,HadePa00
GNB-197812170ram,16 | 1978,WhitDa02
SEA-197812170sea,16 | 1978,ZornJi00
KAN-197812170sea,16 | 1978,LiviMi00
MIA-197812180mia,16 | 1978,GrieBo00
NWE-197812180mia,16 | 1978,GrogSt00
ATL-197812240atl,17 | 1978,UNK
PHI-197812240atl,17 | 1978,UNK
MIA-197812240mia,17 | 1978,UNK
OTI-197812240mia,17 | 1978,UNK
PIT-197812300pit,18 | 1978,UNK
DEN-197812300pit,18 | 1978,UNK
DAL-197812300dal,18 | 1978,UNK
ATL-197812300dal,18 | 1978,UNK
NWE-197812310nwe,18 | 1978,UNK
OTI-197812310nwe,18 | 1978,UNK
RAM-197812310ram,18 | 1978,UNK
MIN-197812310ram,18 | 1978,UNK
PIT-197901070pit,19 | 1978,UNK
OTI-197901070pit,19 | 1978,UNK
RAM-197901070ram,19 | 1978,UNK
DAL-197901070ram,19 | 1978,UNK
DAL-197901210dal,20 | 1978,UNK
PIT-197901210dal,20 | 1978,UNK
