,0
isHome,3.7016471995310713e-84
opp_elo,4.178199040386031e-07
opp_5_opp_fourth_down_attempts,0.001149693596197291
elo,0.0017347861693001625
opp_eloSmooth-0.65,0.020239226588068353
points10_8,0.02197875111079483
points10_7,0.022013715266488477
points10_5,0.031270553653555945
opp_eloYearly,0.032395123847225094
opp_eloSmooth-0.25,0.03467838079708758
time_5_penalties,0.03875781467214645
opp_5_opp_rush_touchdowns,0.04198145363726192
isWeekAfterBye,0.04289895122985635
duration_y.1,0.04360650133002346
5_pass_completions,0.04669058949085262
time_5_yards_from_penalties,0.05055287552365454
1_opp_pass_touchdowns,0.05734388349572539
5_rush_touchdowns,0.062154842409396
opp_5_total_yards,0.06492253200305718
opp_5_rush_yards,0.06650811121120322
1_opp_pass_completions,0.06673147243335613
opp_5_opp_fourth_down_conversions,0.07528287805795186
rush_yards,0.087610994451236
opp_5_rush_attempts,0.09142445632487337
time_5_opp_yards_from_penalties,0.0987152824793122
time_5_opp_penalties,0.10865395370948591
time_5_points,0.11094690145237134
1_opp_pass_attempts,0.11298322027442154
points10_9,0.11780088430317502
1_total_yards,0.12544189977865852
1_rush_yards,0.12663895915387585
5_opp_pass_completions,0.1336863125080645
5_yards_lost_from_sacks,0.14123031372611347
opp_5_rush_touchdowns,0.14226904175587168
5_pass_yards,0.14747339412806232
5_penalties,0.16634169741783575
time_5_pass_attempts,0.16691773533647994
opp_5_opp_rush_yards,0.18019986205941832
opp_5_opp_total_yards,0.18054431252859743
opp_5_opp_third_down_attempts,0.1832249984799951
opp_5_opp_net_pass_yards,0.1911663833709441
opp_ppg,0.19316234006855443
5_pass_attempts,0.20289534829232028
time_5_opp_pass_completions,0.2038519574656527
5_third_down_attempts,0.2071593349715182
5_fumbles,0.20893135038374913
1_opp_rush_yards,0.2126157512788134
opp_5_opp_pass_touchdowns,0.21291930491929187
1_opp_total_yards,0.21370958224172176
time_5_fumbles,0.21486106292593585
opp_5_fourth_down_conversions,0.21930878424444236
5_opp_fumbles,0.22647948039527996
1_pass_completions,0.2275130349567126
pass_yards,0.22837520093162453
5_opp_rush_attempts,0.22856721143234002
time_5_opp_points,0.2372707122760974
opp_5_pass_touchdowns,0.24629326285169292
opp_5_opp_fumbles,0.24687042814304205
time_5_times_sacked,0.2554523127802784
5_third_down_conversions,0.25805489736538934
isWeekBeforePlayoffs,0.26114536881030787
1_penalties,0.26325999689142365
5_net_pass_yards,0.26499934535852876
opp_5_opp_times_sacked,0.2653332842276188
5_opp_first_downs,0.2688671120154526
5_yards_from_penalties,0.27277363017852874
1_opp_time_of_possession,0.2779254728978066
1_opp_penalties,0.2822113670252121
week,0.28535422968888824
1_yards_from_penalties,0.2872298942413108
eloYearlySmooth-0.65,0.29221157130355596
1_opp_rush_touchdowns,0.2929852655880624
time_5_opp_rush_yards,0.2969583410506962
time_5_opp_total_yards,0.3012883003479089
1_times_sacked,0.3023534399105727
1_opp_points,0.3066731373722525
1_time_of_possession,0.3068618329036877
opp_5_fourth_down_attempts,0.30693779768456825
seasonLoses,0.30903306495424787
opp_5_opp_pass_attempts,0.3232540778128281
5_opp_pass_attempts,0.32961922893349316
opp_5_fumbles,0.33438994200209726
time_5_fourth_down_attempts,0.3392093509939086
1_fourth_down_attempts,0.3439565851277141
5_times_sacked,0.3602511329831031
opp_5_opp_yards_lost_from_sacks,0.36232495234896944
duration_x,0.3675475671362518
season,0.3681890853231711
isPlayoffs,0.3690009802256061
opp_pass_yards,0.3692690981289456
5_opp_pass_touchdowns,0.3710177749276574
opp_5_opp_pass_yards,0.37302444792849887
1_fumbles,0.37476159563131695
ppg,0.37591025981397597
time_5_opp_pass_attempts,0.37600113746481567
opp_5_net_pass_yards,0.3884968374760641
1_opp_third_down_attempts,0.38938471387464013
1_points,0.4057665384072685
1_opp_third_down_conversions,0.40717013761927634
opp_5_opp_points,0.4094411174612549
5_total_yards,0.4098925141294587
time_5_interceptions,0.41130135923492894
time_5_turnovers,0.411301359264309
time_5_fumbles_lost,0.41130135926901246
5_rush_yards,0.4136422882258298
points10_0,0.4337766930826732
1_pass_attempts,0.434595131238355
1_opp_pass_yards,0.44287066626717075
opp_5_penalties,0.4441834400565461
1_opp_yards_lost_from_sacks,0.45439705919201445
time_5_opp_fourth_down_conversions,0.46540878251123663
5_opp_points,0.4654962227034628
time_5_opp_third_down_attempts,0.4670166740869065
1_first_downs,0.4711892589322664
5_opp_times_sacked,0.4749261247100459
1_rush_touchdowns,0.47956100717258676
time_5_opp_turnovers,0.47959314622379834
time_5_opp_interceptions,0.47959314626038985
time_5_opp_fumbles_lost,0.4795931462818648
1_opp_times_sacked,0.483229671794964
1_rush_attempts,0.4881896756838058
1_third_down_attempts,0.48955358234569024
5_first_downs,0.49380616840212466
duration_y,0.4940588775736646
time_5_rush_attempts,0.49518534746756404
1_opp_rush_attempts,0.500336478571936
1_third_down_conversions,0.5048613393504002
points10_6,0.5185695506144501
opp_5_third_down_conversions,0.5655503057651916
eloYearly,0.5677280402337954
opp_5_yards_from_penalties,0.5683304345730429
time_5_opp_times_sacked,0.5700035902832827
time_5_net_pass_yards,0.5747028242843726
5_opp_third_down_attempts,0.5764896333543222
1_opp_fumbles_lost,0.5833858681020596
1_opp_interceptions,0.5833858703897674
1_opp_turnovers,0.5833858709917517
opp_5_opp_interceptions,0.5834153806831921
opp_5_opp_turnovers,0.5834153831373807
opp_5_opp_fumbles_lost,0.5834153885013664
opp_5_fumbles_lost,0.5834890075302577
opp_5_turnovers,0.5834890091013633
opp_5_interceptions,0.5834890093153674
1_fumbles_lost,0.5837216907636515
1_turnovers,0.5837216930885474
1_interceptions,0.5837216997153737
5_opp_fumbles_lost,0.5837315698215759
5_opp_turnovers,0.5837315717271658
5_opp_interceptions,0.5837315718128409
5_interceptions,0.5840551155200151
5_fumbles_lost,0.5840551347743381
5_turnovers,0.5840551375313432
time_5_opp_net_pass_yards,0.5888892804556751
opp_5_opp_time_of_possession,0.5903294098417798
1_opp_fourth_down_conversions,0.5917678197363772
opp_5_opp_rush_attempts,0.5952914229859176
time_5_rush_yards,0.6035920555448071
time_5_opp_third_down_conversions,0.6061608553167039
time_5_total_yards,0.6105627648396426
5_points,0.6278401361333077
opp_5_pass_completions,0.6291919252464979
1_net_pass_yards,0.6633698401051967
opp_total_yards,0.6635735373174485
time_5_pass_yards,0.666664139075772
5_opp_yards_from_penalties,0.6685114442566195
eloSmooth-0.25,0.6701917158844137
5_fourth_down_attempts,0.6715290707500583
opp_5_opp_yards_from_penalties,0.6724814165363019
time_5_yards_lost_from_sacks,0.6774927053684738
5_pass_touchdowns,0.6796237081610028
total_yards,0.6925785786701986
opp_5_third_down_attempts,0.6953154078783235
opp_5_opp_first_downs,0.699159640066978
1_fourth_down_conversions,0.7026715847444334
const,0.7179632031428227
5_opp_fourth_down_attempts,0.7248310507606255
seasonWinPercentage,0.7264423317739316
opp_5_opp_penalties,0.7293792822731753
time_5_opp_pass_touchdowns,0.7329440875433604
5_opp_fourth_down_conversions,0.7359626367038334
5_opp_rush_yards,0.7433185772444881
duration_x.1,0.7489991541225014
5_opp_total_yards,0.7545953074787646
5_opp_net_pass_yards,0.757598892678337
opp_5_points,0.7613829934614623
opp_rush_yards,0.7685833749620219
points10_3,0.7798631986011919
time_5_opp_fumbles,0.7840309756353266
points10_4,0.7853444155881759
1_opp_yards_from_penalties,0.7866364742285886
time_5_fourth_down_conversions,0.7904520610598843
1_opp_net_pass_yards,0.7957776686487814
time_5_third_down_conversions,0.7968033430688138
opp_5_opp_pass_completions,0.8073734065450769
points10_2,0.8076031564888615
1_opp_fourth_down_attempts,0.8084528175363339
opp_5_first_downs,0.808622529796308
time_5_opp_fourth_down_attempts,0.8184086772733116
opp_5_pass_yards,0.8190318398323387
opp_5_yards_lost_from_sacks,0.8216814285486452
5_opp_rush_touchdowns,0.8219447036778514
eloSmooth-0.65,0.8273190971176548
