key,opp_abbr,wy,elo,opp_elo,eloYearly,opp_eloYearly,eloSmooth-0.65,opp_eloSmooth-0.65
BUF-198009070buf,MIA,1 | 1980,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0
MIA-198009070buf,BUF,1 | 1980,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0
CIN-198009070cin,TAM,1 | 1980,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0
TAM-198009070cin,CIN,1 | 1980,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0
CRD-198009070crd,NYG,1 | 1980,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0
NYG-198009070crd,CRD,1 | 1980,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0
GNB-198009070gnb,CHI,1 | 1980,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0
CHI-198009070gnb,GNB,1 | 1980,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0
MIN-198009070min,ATL,1 | 1980,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0
ATL-198009070min,MIN,1 | 1980,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0
NOR-198009070nor,SFO,1 | 1980,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0
SFO-198009070nor,NOR,1 | 1980,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0
NWE-198009070nwe,CLE,1 | 1980,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0
CLE-198009070nwe,NWE,1 | 1980,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0
PIT-198009070pit,OTI,1 | 1980,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0
OTI-198009070pit,PIT,1 | 1980,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0
KAN-198009070kan,RAI,1 | 1980,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0
RAI-198009070kan,KAN,1 | 1980,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0
NYJ-198009070nyj,CLT,1 | 1980,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0
CLT-198009070nyj,NYJ,1 | 1980,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0
PHI-198009070phi,DEN,1 | 1980,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0
DEN-198009070phi,PHI,1 | 1980,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0
RAM-198009070ram,DET,1 | 1980,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0
DET-198009070ram,RAM,1 | 1980,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0
SEA-198009070sea,SDG,1 | 1980,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0
SDG-198009070sea,SEA,1 | 1980,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0
WAS-198009080was,DAL,1 | 1980,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0
DAL-198009080was,WAS,1 | 1980,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0
TAM-198009110tam,RAM,2 | 1980,1504.0419108440278,1495.9580891559722,1504.0419108440278,1495.9580891559722,1504.419561345814,1496.785210279971
RAM-198009110tam,TAM,2 | 1980,1495.9580891559722,1504.0419108440278,1495.9580891559722,1504.0419108440278,1496.785210279971,1504.419561345814
BUF-198009140buf,NYJ,2 | 1980,1510.3775161627193,1489.6224838372807,1510.3775161627193,1489.6224838372807,1511.3318673958993,1490.3650956658237
NYJ-198009140buf,BUF,2 | 1980,1489.6224838372807,1510.3775161627193,1489.6224838372807,1510.3775161627193,1490.3650956658237,1511.3318673958993
MIN-198009140min,PHI,2 | 1980,1475.5225814613077,1524.4774185386923,1475.5225814613077,1524.4774185386923,1484.6526831790088,1516.944492474572
PHI-198009140min,MIN,2 | 1980,1524.4774185386923,1475.5225814613077,1524.4774185386923,1475.5225814613077,1516.944492474572,1484.6526831790088
NWE-198009140nwe,ATL,2 | 1980,1485.9414147950151,1514.0585852049849,1485.9414147950151,1514.0585852049849,1485.3855536885137,1514.0585852049849
ATL-198009140nwe,NWE,2 | 1980,1514.0585852049849,1485.9414147950151,1514.0585852049849,1485.9414147950151,1514.0585852049849,1485.3855536885137
CHI-198009140chi,NOR,2 | 1980,1515.8079983264531,1484.1920016735469,1515.8079983264531,1484.1920016735469,1511.6684028026395,1484.3532401985983
NOR-198009140chi,CHI,2 | 1980,1484.1920016735469,1515.8079983264531,1484.1920016735469,1515.8079983264531,1484.3532401985983,1511.6684028026395
CLT-198009140clt,PIT,2 | 1980,1494.4093830498273,1505.5906169501727,1494.4093830498273,1505.5906169501727,1494.318935872069,1509.5644733836282
PIT-198009140clt,CLT,2 | 1980,1505.5906169501727,1494.4093830498273,1505.5906169501727,1494.4093830498273,1509.5644733836282,1494.318935872069
GNB-198009140gnb,DET,2 | 1980,1482.4898146373082,1517.5101853626918,1482.4898146373082,1517.5101853626918,1493.394717582753,1513.6468757286025
DET-198009140gnb,GNB,2 | 1980,1517.5101853626918,1482.4898146373082,1517.5101853626918,1482.4898146373082,1513.6468757286025,1493.394717582753
KAN-198009140kan,SEA,2 | 1980,1495.9580891559722,1504.0419108440278,1495.9580891559722,1504.0419108440278,1497.089557003066,1504.24860360026
SEA-198009140kan,KAN,2 | 1980,1504.0419108440278,1495.9580891559722,1504.0419108440278,1495.9580891559722,1504.24860360026,1497.089557003066
DEN-198009140den,DAL,2 | 1980,1516.947581456781,1483.052418543219,1516.947581456781,1483.052418543219,1506.4719599132704,1487.0157007321145
DAL-198009140den,DEN,2 | 1980,1483.052418543219,1516.947581456781,1483.052418543219,1516.947581456781,1487.0157007321145,1506.4719599132704
MIA-198009140mia,CIN,2 | 1980,1504.0419108440278,1495.9580891559722,1504.0419108440278,1495.9580891559722,1501.6085872288488,1501.4027819668725
CIN-198009140mia,MIA,2 | 1980,1495.9580891559722,1504.0419108440278,1495.9580891559722,1504.0419108440278,1501.4027819668725,1501.6085872288488
NYG-198009140nyg,WAS,2 | 1980,1495.168135575482,1504.831864424518,1495.168135575482,1504.831864424518,1491.7442319198817,1504.6875583469716
WAS-198009140nyg,NYG,2 | 1980,1504.831864424518,1495.168135575482,1504.831864424518,1495.168135575482,1504.6875583469716,1491.7442319198817
SDG-198009140sdg,RAI,2 | 1980,1507.732728179727,1492.267271820273,1507.732728179727,1492.267271820273,1504.6324615761202,1498.3212923674023
RAI-198009140sdg,SDG,2 | 1980,1492.267271820273,1507.732728179727,1492.267271820273,1507.732728179727,1498.3212923674023,1504.6324615761202
SFO-198009140sfo,CRD,2 | 1980,1505.5906169501727,1494.4093830498273,1505.5906169501727,1494.4093830498273,1505.1209122777034,1494.377739779519
CRD-198009140sfo,SFO,2 | 1980,1494.4093830498273,1505.5906169501727,1494.4093830498273,1505.5906169501727,1494.377739779519,1505.1209122777034
CLE-198009150cle,OTI,2 | 1980,1490.2661705297087,1509.7338294702913,1490.2661705297087,1509.7338294702913,1494.150653193684,1502.9547726399012
OTI-198009150cle,CLE,2 | 1980,1509.7338294702913,1490.2661705297087,1509.7338294702913,1490.2661705297087,1502.9547726399012,1494.150653193684
ATL-198009210atl,MIA,3 | 1980,1508.2603706356049,1509.8401254134078,1508.2603706356049,1509.8401254134078,1508.2603706356049,1503.2438208646736
MIA-198009210atl,ATL,3 | 1980,1509.8401254134078,1508.2603706356049,1509.8401254134078,1508.2603706356049,1503.2438208646736,1508.2603706356049
CHI-198009210chi,MIN,3 | 1980,1496.928435258513,1494.4021445292478,1496.928435258513,1494.4021445292478,1499.7584190018167,1497.4967311446458
MIN-198009210chi,CHI,3 | 1980,1494.4021445292478,1496.928435258513,1494.4021445292478,1496.928435258513,1497.4967311446458,1499.7584190018167
CIN-198009210cin,PIT,3 | 1980,1500.962444661608,1500.5862614445368,1500.962444661608,1500.5862614445368,1500.545167833058,1511.060053772622
PIT-198009210cin,CIN,3 | 1980,1500.5862614445368,1500.962444661608,1500.5862614445368,1500.962444661608,1511.060053772622,1500.545167833058
CLE-198009210cle,KAN,3 | 1980,1498.8558596945431,1487.3683999911375,1498.8558596945431,1487.3683999911375,1499.445095317533,1490.9935392135817
KAN-198009210cle,CLE,3 | 1980,1487.3683999911375,1498.8558596945431,1487.3683999911375,1498.8558596945431,1490.9935392135817,1499.445095317533
DET-198009210det,CRD,3 | 1980,1528.7419158225186,1483.1776525900004,1528.7419158225186,1483.1776525900004,1518.09696009688,1486.2107552208647
CRD-198009210det,DET,3 | 1980,1483.1776525900004,1528.7419158225186,1483.1776525900004,1528.7419158225186,1486.2107552208647,1518.09696009688
NYJ-198009210nyj,SFO,3 | 1980,1479.846466384237,1515.3666344032165,1479.846466384237,1515.3666344032165,1479.949163598027,1511.0290402554951
SFO-198009210nyj,NYJ,3 | 1980,1515.3666344032165,1479.846466384237,1515.3666344032165,1479.846466384237,1511.0290402554951,1479.949163598027
NOR-198009210nor,BUF,3 | 1980,1475.3751052210553,1519.1944126152107,1475.3751052210553,1519.1944126152107,1483.1176742049906,1516.3596609908684
BUF-198009210nor,NOR,3 | 1980,1519.1944126152107,1475.3751052210553,1519.1944126152107,1475.3751052210553,1516.3596609908684,1483.1176742049906
OTI-198009210oti,CLT,3 | 1980,1516.37953309399,1487.7636794261286,1516.37953309399,1487.7636794261286,1503.6289037726103,1491.8472866114207
CLT-198009210oti,OTI,3 | 1980,1487.7636794261286,1516.37953309399,1487.7636794261286,1516.37953309399,1491.8472866114207,1503.6289037726103
DAL-198009210dal,TAM,3 | 1980,1494.9276042601855,1492.166725127061,1494.9276042601855,1492.166725127061,1491.877153697238,1498.7685354220123
TAM-198009210dal,DAL,3 | 1980,1492.166725127061,1494.9276042601855,1492.166725127061,1494.9276042601855,1498.7685354220123,1491.877153697238
DEN-198009210den,SDG,3 | 1980,1501.8000454255375,1522.8802642109706,1501.8000454255375,1522.8802642109706,1498.3272112485247,1516.3195845301452
SDG-198009210den,DEN,3 | 1980,1522.8802642109706,1501.8000454255375,1522.8802642109706,1501.8000454255375,1516.3195845301452,1498.3272112485247
RAI-198009210rai,WAS,3 | 1980,1498.1187962743434,1498.9803399704476,1498.1187962743434,1498.9803399704476,1502.6482363987072,1498.9062083784954
WAS-198009210rai,RAI,3 | 1980,1498.9803399704476,1498.1187962743434,1498.9803399704476,1498.1187962743434,1498.9062083784954,1502.6482363987072
RAM-198009210ram,GNB,3 | 1980,1516.7518952265957,1461.696008566685,1516.7518952265957,1461.696008566685,1511.8156146368476,1481.4362177175203
GNB-198009210ram,RAM,3 | 1980,1461.696008566685,1516.7518952265957,1461.696008566685,1516.7518952265957,1481.4362177175203,1511.8156146368476
SEA-198009210sea,NWE,3 | 1980,1495.787159509722,1494.196166129321,1495.787159509722,1494.196166129321,1502.9735082668694,1490.3186939714617
NWE-198009210sea,SEA,3 | 1980,1494.196166129321,1495.787159509722,1494.196166129321,1495.787159509722,1490.3186939714617,1502.9735082668694
PHI-198009220phi,NYG,3 | 1980,1544.9865631711814,1474.6589909429931,1544.9865631711814,1474.6589909429931,1530.5113823825586,1480.139886995211
NYG-198009220phi,PHI,3 | 1980,1474.6589909429931,1544.9865631711814,1474.6589909429931,1544.9865631711814,1480.139886995211,1530.5113823825586
BUF-198009280buf,RAI,4 | 1980,1532.7262974146377,1484.5869114749164,1532.7262974146377,1484.5869114749164,1527.870796643071,1498.307476752777
RAI-198009280buf,BUF,4 | 1980,1484.5869114749164,1532.7262974146377,1484.5869114749164,1532.7262974146377,1498.307476752777,1527.870796643071
CIN-198009280cin,OTI,4 | 1980,1495.6848350562311,1521.657142699367,1495.6848350562311,1521.657142699367,1492.009058119175,1503.2413670697963
OTI-198009280cin,CIN,4 | 1980,1521.657142699367,1495.6848350562311,1521.657142699367,1495.6848350562311,1503.2413670697963,1492.009058119175
