key,opp_abbr,wy,p_id,last5_completed_passes,last5_attempted_passes,last5_passing_yards,last5_passing_touchdowns,last5_interceptions_thrown,last5_times_sacked,last5_yards_lost_from_sacks,last5_longest_pass,last5_quarterback_rating,last5_rush_attempts,last5_rush_yards,last5_rush_touchdowns,last5_longest_rush,last5_isHome,last5_completion_percentage,last5_td_percentage,last5_interception_percentage,last5_yards_per_attempt,last5_adjusted_yards_per_attempt,last5_yards_per_completion,last5_sack_percentage,last5_net_gained_per_pass_attempt,last5_adjusted_net_yards_per_pass_attempt,last5_rush_yards_per_attempt
SEA-199911140sea,DEN,10 | 1999,KitnJo00,15.0,26.4,190.2,2.0,0.8,2.0,11.6,30.0,93.14,2.4,1.4,0.0,2.2,0.6,57.35600000000001,7.964,3.022,7.134,7.361999999999999,12.566,7.214,6.202,6.42,0.3339999999999999
DEN-199911140sea,SEA,10 | 1999,MillCh00,16.0,27.8,151.6,1.0,1.0,2.4,20.0,25.2,65.1,1.0,2.0,0.0,2.2,0.2,53.844,3.872,4.078,5.324,4.2620000000000005,10.186,8.758,4.064,3.068,1.5
NWE-199911150nwe,NYJ,10 | 1999,BledDr00,19.2,33.6,288.4,1.6,0.6,3.6,23.2,54.8,95.98,2.0,0.8,0.0,1.6,0.4,57.7,5.546,1.4440000000000002,9.018,9.476,15.496,10.784,7.258,7.595999999999999,1.116
NYJ-199911150nwe,NWE,10 | 1999,LucaRa00,3.4,6.4,32.8,0.2,0.2,0.2,2.4,9.0,44.220000000000006,1.2,5.8,0.0,5.0,1.0,30.666,0.666,0.666,6.314,6.146,7.112,0.646,6.206,6.046,3.934
KAN-199911210kan,SEA,11 | 1999,GrbaEl00,15.8,25.2,180.4,1.2,0.4,1.4,9.2,40.8,101.64,1.4,2.2,0.0,2.6,0.4,63.48,6.337999999999999,1.296,7.838000000000001,8.522,12.15,5.478,7.036,7.683999999999999,1.5
SEA-199911210kan,KAN,11 | 1999,KitnJo00,15.2,26.6,194.6,2.0,0.8,1.8,10.2,32.0,93.74,2.6,1.2,0.0,2.2,0.6,57.678,7.92,3.002,7.229999999999999,7.460000000000001,12.663999999999998,6.588000000000001,6.384,6.601999999999999,0.2339999999999999
MIA-199911210mia,NWE,11 | 1999,HuarDa00,15.8,29.0,175.6,0.8,0.6,4.4,29.4,37.6,72.7,4.4,16.6,0.0,9.6,0.4,54.914,2.552,2.228,6.0760000000000005,5.586,10.9,12.042,4.514,4.042,3.5
NWE-199911210mia,MIA,11 | 1999,BledDr00,16.4,32.2,243.8,1.8,1.2,3.4,20.8,50.2,83.22000000000001,1.8,6.0,0.0,3.6,0.6,52.54600000000001,6.191999999999999,3.1100000000000003,8.134,7.971999999999999,15.052,10.62,6.492,6.256,2.832
NYJ-199911210nyj,BUF,11 | 1999,LucaRa00,6.8,12.4,58.0,0.6,0.6,0.2,2.4,8.8,33.620000000000005,2.4,8.8,0.0,8.4,0.8,22.278,1.956,1.956,1.9020000000000004,1.41,3.4120000000000004,0.646,1.794,1.31,4.434
BUF-199911210nyj,NYJ,11 | 1999,FlutDo00,17.4,34.6,205.4,1.4,1.6,1.6,13.6,36.2,72.35999999999999,5.8,32.8,0.0,14.4,0.4,52.414,4.606,3.764,6.464,5.692,12.16,3.874,5.946,5.222,6.046
TAM-199911210tam,ATL,11 | 1999,DilfTr00,17.8,27.8,205.8,1.6,1.0,1.6,9.4,35.8,93.08,3.2,16.8,0.0,12.6,0.4,64.57199999999999,6.2780000000000005,3.56,7.556,7.208,11.498,5.188,6.914,6.602000000000001,4.156
ATL-199911210tam,TAM,11 | 1999,ChanCh00,12.6,21.4,158.6,1.0,1.0,4.2,28.8,32.4,73.35999999999999,1.0,1.6,0.0,1.6,0.6,58.522000000000006,4.404,5.522,7.075999999999999,5.474,12.01,14.762,5.048,3.686,1.1
