,0
notFullGame,6.672415093910084e-23
isHome,2.6597832084990786e-06
const,4.379497437494352e-05
passingTouchdowns10_9,0.00010663910067873792
passingTouchdowns10_0,0.0010083781681406476
last1_interceptions_thrown,0.0013387339230049578
attemptedPasses10_4,0.0017490752473053577
last1_passing_touchdowns,0.0027452865041645174
isRookie,0.003178048343060166
allowedPassingYards10_4,0.003486674996005945
last5_attempted_passes,0.005435165572589207
completedPasses10_6,0.0068493107275296415
careerAvg_attempted_passes,0.00749287712039553
allowedPassingTouchdowns10_0,0.007918593252397108
attemptedPasses10_6,0.008125943535746544
careerAvg_quarterback_rating,0.01669009761847601
pastSeasonAwards,0.020645296176721315
last1_completion_percentage,0.02148567114696173
careerAvg_completion_percentage,0.02218590006290671
attemptedPasses10_3,0.027134378651781185
attemptedPasses10_1,0.03057475587172186
allowedAttemptedPasses10_9,0.03242246173811559
passingYards10_8,0.033794279565669126
last5_completion_percentage,0.03738168737177938
allowedAttemptedPasses10_4,0.038066277968546836
allowedPassingYards10_2,0.039162995231159306
completedPasses10_5,0.04016588366605292
completedPasses10_4,0.040329388212889804
last1_yards_lost_from_sacks,0.047025259665646815
passingYards10_5,0.0546332911564473
pastSeason4thComebacks,0.057625280373986225
allowedPassingYards10_8,0.06546535938917553
seasonAvg_isHome,0.07191361925700124
careerAvg_passing_yards,0.07252054766750282
last1_longest_rush,0.07503901918460465
allowedPassingTouchdowns10_1,0.07639902868086128
seasonAvg_attempted_passes,0.0769033918359217
allowedPassingYards10_3,0.08163430012015119
last5_isHome,0.08463071112736971
age,0.08542479481402984
last5_completed_passes,0.08653103571462852
allowedAttemptedPasses10_3,0.0898431248104494
completedPasses10_3,0.09096858075239894
seasonAvg_longest_pass,0.09274938848861897
passingYards10_6,0.09637724593447344
isNewStarter,0.10260239694466097
pastSeasonGameWinningDrives,0.10865291849908207
last5_sack_percentage,0.10877014611935754
last1_quarterback_rating,0.1114362905759179
attemptedPasses10_5,0.11983671319664503
careerAvg_longest_rush,0.12348060962724133
seasonAvg_completed_passes,0.12879350080140042
completedPasses10_1,0.1304615814188038
last1_rush_yards,0.13066915122887454
careerAvg_passing_touchdowns,0.13303543200456758
last1_times_sacked,0.13989750279267404
allowedPassingYards10_9,0.1431606102752388
allowedAttemptedPasses10_1,0.14869307621021663
passingYards10_9,0.14939976116046005
careerAvg_completed_passes,0.15174583307678063
allowedPassingTouchdowns10_6,0.15365294601133792
allowedPassingTouchdowns10_7,0.15770150747039954
last1_passing_yards,0.17653285521335202
attemptedPasses10_2,0.18178123163153245
allowedAttemptedPasses10_2,0.19787801263605445
completedPasses10_8,0.20042482581262838
last1_sack_percentage,0.2054690101019356
allowedPassingTouchdowns10_3,0.2292699971715131
last5_quarterback_rating,0.23276422012400091
passingTouchdowns10_5,0.23620460412215416
completedPasses10_7,0.25103273948435
allowedPassingTouchdowns10_5,0.26802509329976054
careerAvg_sack_percentage,0.26831733171610767
seasonAvg_interception_percentage,0.2778829368275753
seasonAvg_adjusted_yards_per_attempt,0.28011758549982035
seasonAvg_td_percentage,0.2802310829820764
seasonAvg_yards_per_attempt,0.2808020099530761
careerAvg_net_gained_per_pass_attempt,0.28081893419909104
seasonAvg_longest_rush,0.2866145915139662
careerAvg_rush_yards_per_attempt,0.28770726660774587
last5_rush_attempts,0.2997727200655761
allowedPassingYards10_7,0.30990143653885777
last1_yards_per_attempt,0.31033792266884014
last5_passing_yards,0.3199635192135428
last1_interception_percentage,0.32193139472339116
last1_adjusted_yards_per_attempt,0.32637180656846765
last1_td_percentage,0.3362408271644215
passingYards10_4,0.3484468607732687
careerAvg_yards_per_attempt,0.3520552290120058
isNewTeam,0.35516313746646155
careerAvg_adjusted_yards_per_attempt,0.35688658805801154
last5_yards_lost_from_sacks,0.35765122207949973
careerAvg_interception_percentage,0.36385712470637477
careerAvg_td_percentage,0.3660697936194026
careerAvg_isHome,0.36646611774694593
attemptedPasses10_9,0.3699918153053561
passingYards10_2,0.3730032622695012
passingYards10_1,0.38174630177233104
allowedPassingTouchdowns10_4,0.3820962193732188
allowedPassingYards10_6,0.38726738458036936
completedPasses10_2,0.3874383028017301
last1_isHome,0.40946406390336965
outLastSeason,0.41359483484442894
careerAvg_rush_attempts,0.43019591396275336
passingYards10_7,0.4333770004657612
passingYards10_0,0.44558367015413336
last5_times_sacked,0.46060307440742354
seasonAvg_interceptions_thrown,0.46378880408829104
last5_yards_per_completion,0.46537989093201515
allowedPassingYards10_5,0.47636652331969753
passingTouchdowns10_3,0.479777983683497
attemptedPasses10_7,0.48116739838809663
careerAvg_adjusted_net_yards_per_pass_attempt,0.5015460844708495
completedPasses10_0,0.5035310382032401
passingTouchdowns10_7,0.505809816628119
completedPasses10_9,0.5058384169759368
careerAvg_interceptions_thrown,0.5303682833007618
allowedPassingYards10_1,0.5503911213312278
last5_longest_pass,0.5611636034238603
seasonAvg_rush_yards,0.565050549967244
seasonAvg_times_sacked,0.5728857744191398
passingTouchdowns10_6,0.5801559583856639
seasonAvg_passing_yards,0.5836843190406746
seasonAvg_passing_touchdowns,0.5928077506397382
pastSeasonPasserRating,0.5931934691877114
last5_longest_rush,0.5945835197266045
careerAvg_times_sacked,0.5961969360851256
last1_rush_touchdowns,0.6171626312706222
last5_rush_yards_per_attempt,0.6196924444740195
allowedAttemptedPasses10_6,0.6313315243959454
last1_rush_attempts,0.6316285179927172
allowedAttemptedPasses10_0,0.6423786507557139
passingTouchdowns10_8,0.6452918100838738
last1_net_gained_per_pass_attempt,0.6460301438846412
