key,opp_abbr,wy,p_id,careerAvg_completed_passes,careerAvg_attempted_passes,careerAvg_passing_yards,careerAvg_passing_touchdowns,careerAvg_interceptions_thrown,careerAvg_times_sacked,careerAvg_yards_lost_from_sacks,careerAvg_longest_pass,careerAvg_quarterback_rating,careerAvg_rush_attempts,careerAvg_rush_yards,careerAvg_rush_touchdowns,careerAvg_longest_rush,careerAvg_isHome,careerAvg_completion_percentage,careerAvg_td_percentage,careerAvg_interception_percentage,careerAvg_yards_per_attempt,careerAvg_adjusted_yards_per_attempt,careerAvg_yards_per_completion,careerAvg_sack_percentage,careerAvg_net_gained_per_pass_attempt,careerAvg_adjusted_net_yards_per_pass_attempt,careerAvg_rush_yards_per_attempt
CLT-198009070nyj,NYJ,1 | 1980,JoneBe00,10.0,19.143,144.714,1.0,0.571,2.286,19.857,43.286,85.771,2.714,11.143,0.143,9.286,0.571,55.061,5.441,2.349,7.681,7.713,15.037,11.303,5.599,5.599,5.446
PHI-198009070phi,DEN,1 | 1980,JawoRo00,12.629,24.829,164.257,1.143,0.829,2.371,18.114,38.2,75.203,2.229,6.314,0.057,5.943,0.486,51.846,4.892,3.436,6.845,6.278,13.408,8.531,5.607,5.095,2.932
DEN-198009070phi,PHI,1 | 1980,RobiMa01,10.071,21.214,156.643,0.929,1.286,2.357,18.429,39.786,68.129,2.214,1.929,0.071,4.143,0.5,46.964,4.946,6.205,7.791,5.99,16.469,10.936,6.159,4.74,0.67
RAM-198009070ram,DET,1 | 1980,HadePa00,14.786,27.929,183.357,0.929,1.321,1.964,14.107,35.857,67.454,1.893,12.071,0.0,9.107,0.536,52.947,3.496,4.718,6.588,5.163,12.505,6.522,5.693,4.375,5.277
DET-198009070ram,RAM,1 | 1980,DaniGa00,14.214,25.071,163.857,1.286,1.214,1.786,16.929,28.143,71.25,1.571,6.643,0.0,5.857,0.5,53.416,4.612,4.482,6.247,5.152,11.836,6.275,5.287,4.314,4.357
SEA-198009070sea,SDG,1 | 1980,ZornJi00,16.656,29.625,217.0,1.094,1.188,2.094,15.156,36.938,77.472,3.281,17.781,0.25,11.094,0.5,56.271,3.942,3.803,7.497,6.572,13.236,7.025,6.497,5.623,4.641
SDG-198009070sea,SEA,1 | 1980,FoutDa00,18.156,29.938,231.688,1.5,1.531,1.625,10.656,38.094,81.866,1.438,2.875,0.125,2.906,0.531,60.117,5.251,5.428,7.784,6.392,13.191,5.575,7.007,5.74,1.014
WAS-198009080was,DAL,1 | 1980,TheiJo00,13.548,25.323,173.871,1.065,1.0,2.452,21.097,35.742,74.577,2.677,11.548,0.161,8.742,0.484,53.352,4.539,3.758,6.919,6.134,13.278,8.706,5.553,4.841,5.034
DAL-198009080was,WAS,1 | 1980,WhitDa01,1.361,2.583,16.917,0.056,0.111,0.167,1.861,5.889,25.633,0.25,0.778,0.0,1.278,0.528,18.053,0.391,0.881,2.438,2.119,3.731,2.811,1.901,1.574,0.824
TAM-198009110tam,RAM,2 | 1980,WillDo01,8.931,22.069,135.069,0.966,1.172,0.448,4.345,33.276,57.41,2.586,6.793,0.103,4.621,0.517,38.826,4.598,5.634,5.862,4.246,14.883,1.881,5.577,4.028,1.908
RAM-198009110tam,TAM,2 | 1980,FerrVi00,5.35,11.0,82.65,0.4,0.85,1.0,10.15,26.4,54.2,0.4,0.65,0.0,0.75,0.55,43.677,2.752,7.538,6.366,3.524,12.829,7.116,5.153,2.588,0.75
