key,opp_abbr,wy,p_id,seasonAvg_completed_passes,seasonAvg_attempted_passes,seasonAvg_passing_yards,seasonAvg_passing_touchdowns,seasonAvg_interceptions_thrown,seasonAvg_times_sacked,seasonAvg_yards_lost_from_sacks,seasonAvg_longest_pass,seasonAvg_quarterback_rating,seasonAvg_rush_attempts,seasonAvg_rush_yards,seasonAvg_rush_touchdowns,seasonAvg_longest_rush,seasonAvg_isHome,seasonAvg_completion_percentage,seasonAvg_td_percentage,seasonAvg_interception_percentage,seasonAvg_yards_per_attempt,seasonAvg_adjusted_yards_per_attempt,seasonAvg_yards_per_completion,seasonAvg_sack_percentage,seasonAvg_net_gained_per_pass_attempt,seasonAvg_adjusted_net_yards_per_pass_attempt,seasonAvg_rush_yards_per_attempt
CLT-198009070nyj,NYJ,1 | 1980,JoneBe00,10.75,23.0,160.75,0.75,0.75,2.5,19.25,43.0,70.225,2.5,10.0,0.25,8.75,0.5,44.72,4.105,2.795,6.922,6.485,16.322,10.165,5.422,4.99,3.458
PHI-198009070phi,DEN,1 | 1980,JawoRo00,12.056,24.222,170.667,1.278,0.722,2.167,17.778,38.056,81.639,2.611,7.722,0.111,7.056,0.5,51.918,5.754,3.031,7.373,7.16,14.227,7.681,6.188,6.006,3.301
DEN-198009070phi,PHI,1 | 1980,RobiMa01,17.0,31.0,191.0,0.0,2.0,5.0,30.0,33.0,46.6,3.0,4.0,1.0,10.0,1.0,54.84,0.0,6.45,6.16,3.26,11.24,13.89,4.47,1.97,1.33
RAM-198009070ram,DET,1 | 1980,HadePa00,16.3,29.0,185.4,1.1,1.4,2.1,17.8,33.3,71.84,1.6,9.7,0.0,7.5,0.5,56.558,3.99,4.405,6.416,5.231,11.506,6.684,5.39,4.305,5.25
DET-198009070ram,RAM,1 | 1980,DaniGa00,11.0,21.25,145.2,0.8,1.05,1.3,10.35,31.0,62.81,1.05,3.7,0.0,3.1,0.5,49.736,3.256,5.411,6.386,4.602,12.432,4.312,5.765,4.02,2.308
SEA-198009070sea,SDG,1 | 1980,ZornJi00,17.812,31.562,228.812,1.25,1.125,1.438,12.562,37.625,81.994,2.875,17.438,0.125,13.375,0.5,56.284,4.267,3.152,7.441,6.875,13.086,4.531,6.808,6.268,5.26
SDG-198009070sea,SEA,1 | 1980,FoutDa00,21.0,33.941,259.706,1.412,1.706,1.765,12.412,37.941,81.118,1.529,2.882,0.118,2.294,0.529,61.934,4.243,4.669,7.742,6.489,12.658,5.199,6.973,5.766,0.596
WAS-198009080was,DAL,1 | 1980,TheiJo00,14.562,24.688,174.812,1.25,0.812,2.125,16.438,34.938,83.637,2.875,11.312,0.25,8.812,0.5,58.346,5.249,3.253,7.112,6.698,12.307,8.303,5.864,5.493,5.441
DAL-198009080was,WAS,1 | 1980,WhitDa01,1.118,2.294,15.706,0.059,0.118,0.235,2.706,7.118,28.153,0.059,1.471,0.0,1.471,0.529,23.278,0.535,1.326,3.372,2.882,5.053,2.731,2.579,2.066,1.471
TAM-198009110tam,RAM,2 | 1980,WillDo01,11.0,21.0,155.0,2.0,0.0,0.0,0.0,32.0,108.2,7.0,36.0,0.0,11.0,0.0,52.38,9.52,0.0,7.38,9.29,14.09,0.0,7.38,9.29,5.14
RAM-198009110tam,TAM,2 | 1980,FerrVi00,4.0,5.0,46.0,0.0,0.0,0.0,0.0,19.0,105.0,0.0,0.0,0.0,0.0,1.0,80.0,0.0,0.0,9.2,9.2,11.5,0.0,9.2,9.2,0.0
BUF-198009140buf,NYJ,2 | 1980,FergJo00,20.0,32.0,198.0,1.0,5.0,0.0,0.0,29.0,50.8,4.0,16.0,0.0,15.0,1.0,62.5,3.12,15.62,6.19,-0.22,9.9,0.0,6.19,-0.22,4.0
